あき aki fall
いか ika squid
うし ushi cow
おかね okane money
かわいい kawaii cute
きれい kirei beautiful
くうき kuuki air
け ke hair
こい koi love
さけ sake alcohol
しか shika deer
すし sushi sushi
せい sei height
そと soto outside
たこ tako octopus
くち kuchi mouth
いつ itsu when
て te hand
とき toki time
なまえ namae name
にし nishi west
いぬ inu dog
ねこ neko cat
この kono this
はな hana flower
ひと hito person
ふね fune boat
へん hen weird
ほし hoshi star
まち machi town
みち michi road
むね mune chest
め me eye
もも momo peach
やすい yasui cheap
ゆき yuki snow
よる yoru night
らく raku easy
りす risu squirrel
わかる wakaru understand
れつ retsu line
ろく roku six
わたし watashi I
せんたくをする sentakuwosuru do laundry
さん san three
